company,official_url,board_url,ats_type,raw_jobs,status,decision,notes
Charles Schwab,https://www.schwabjobs.com/,https://www.schwabjobs.com/search-jobs,radancy,336,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Cox Automotive Inc.,https://jobs.coxenterprises.com/en/learn-about-us/businesses/cox-automotive/,,,0,needs_adapter,existing source; current page needs investigation,Existing Cox Automotive source found by normalized-name comparison; new marketing page did not expose a tested listing endpoint. No duplicate added.
Health Care Service Corporation,https://careers.hcsc.com/,https://hcsc.wd1.myworkdayjobs.com/HCSC_External,workday,158,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Broadridge,https://broadridge.wd5.myworkdayjobs.com/Careers,https://broadridge.wd5.myworkdayjobs.com/Careers,workday,266,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Copart,https://www.copart.com/content/us/en/careers,,,0,needs_adapter,needs investigation,Official career page returned HTTP 403 to the direct check; underlying current board remains unidentified.
LexisNexis Risk Solutions,https://risk.lexisnexis.com/about-us/careers,https://relx.wd3.myworkdayjobs.com/RiskSolutions,workday,174,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Smith+Nephew,https://www.smith-nephew.com/en-us/careers,https://smithnephew.wd5.myworkdayjobs.com/External,workday,322,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
AQR Capital Management,https://www.aqr.com/our-firm/careers,https://job-boards.greenhouse.io/aqr,greenhouse,54,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
NCR Voyix,https://www.ncr.com/about/careers,https://ncr.wd1.myworkdayjobs.com/ext_us,workday,170,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
NCR Voyix,https://www.ncr.com/about/careers,https://ncr.wd1.myworkdayjobs.com/ext_intern,workday,0,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Corewell Health,https://corewellhealth.org/careers,https://spectrumhealth.wd5.myworkdayjobs.com/CorewellHealthCareers,workday,1977,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Tempus AI,https://www.tempus.com/careers/,https://tempus.wd5.myworkdayjobs.com/Tempus_Careers,workday,152,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Orange Logic,https://www.orangelogic.com/careers,,,0,needs_adapter,needs investigation,Official site exposes individual /jobs/ pages; a complete custom-page listing adapter still needs validation.
Tools for Humanity,https://www.toolsforhumanity.com/careers,https://jobs.ashbyhq.com/Tools%20for%20Humanity,ashby,19,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
FieldAI,https://www.fieldai.com/careers,https://jobs.lever.co/field-ai,lever,107,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
HarbourVest Partners,https://harbourvest.com/us/en/about-harbourvest/careers,https://harbourvest.wd5.myworkdayjobs.com/HVP,workday,69,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Fresenius Kabi USA,https://www.fresenius-kabi.com/us/careers,https://freseniusglobal.wd3.myworkdayjobs.com/FK_Careers,workday,193,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Mathematica,https://mathematica.org/career-opportunities,,,0,needs_adapter,needs investigation,Official page links careers.mathematica-mpr.com; no supported board resolved in the bounded follow-up.
Sony Pictures Entertainment,https://www.sonypicturesjobs.com/,https://www.sonypicturesjobs.com/search-jobs,radancy,67,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
TORY BURCH,https://toryburch.wd1.myworkdayjobs.com/en-US/toryburchcareers,https://toryburch.wd1.myworkdayjobs.com/toryburchcareers,workday,427,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Burns & McDonnell,https://burnsmcd.jobs/,,,0,needs_adapter,needs investigation,Official jobs site found; no supported feed identified in this check.
RELX,https://www.relx.com/careers/join-us,,,0,needs_adapter,needs investigation,Official marketing career page returned HTTP 403. Risk Solutions subsidiary board separately verified; parent-wide coverage remains unverified.
Bank OZK,https://careers.ozk.com/career-home/,https://careers.ozk.com,jibe,138,readable,register,Complete listing response verified; eligible new jobs pass normal intake rules.
Suffolk Construction,https://suffolk.com/careers/job-opportunities/,,,0,needs_adapter,needs investigation,Official site links native iCIMS; this installation has no validated adapter for that portal.
Nebo Agency,https://www.neboagency.com/careers/,,,0,needs_adapter,needs investigation,Official site and public JazzHR applytojob board found; JazzHR adapter is not implemented.
Cosm,https://www.cosm.com/careers/positions,,,0,needs_adapter,needs investigation,Official site lists jobs across multiple pages; complete pagination/upstream feed still needs validation.
Sail Biomedicines,https://www.sail.bio/careers/,https://job-boards.greenhouse.io/sendabiosciences,greenhouse,9,readable,already configured as Sendabiosciences,Working Greenhouse board already registered in live boards as Sendabiosciences; no duplicate source added.
